Title,Ingredients,Instructions,load_dte,batch_number
Chicken Adobo,"▢
2 lbs chicken (note 1)
▢
3 pieces dried bay leaves (note 2)
▢
4 tablespoons soy sauce (note 3)
▢
6 tablespoons white vinegar (note 4)
▢
5 cloves garlic (note 5)
▢
1 1/2 cups water
▢
3 tablespoons cooking oil
▢
1 teaspoon sugar (note 6)
▢
1/4 teaspoon salt (note 7)
▢
1 teaspoon whole peppercorn (note 8)","Combine chicken, soy sauce, and garlic in a large bowl. Mix well. Marinate the chicken for at least 1 hour. Note: the longer the time, the better
2 lbs chicken, 4 tablespoons soy sauce
Heat a cooking pot. Pour cooking oil.
3 tablespoons cooking oil
When the oil is hot enough, pan-fry the marinated chicken for 2 minutes per side.
Pour-in the remaining marinade, including garlic. Add water. Bring to a boil
1 1/2 cups water
Add dried bay leaves and whole peppercorn. Simmer for 30 minutes or until the chicken gets tender
3 pieces dried bay leaves, 1 teaspoon whole peppercorn
Add vinegar. Stir and cook for 10 minutes.
6 tablespoons white vinegar
Put-in the sugar, and salt. Stir and turn the heat off.Serve hot. Share and Enjoy!
1 teaspoon sugar, 1/4 teaspoon salt",2024-08-08 15:19:45,1
Pork Kilawin,"▢
1 lb pork belly
▢
2 cucumbers sliced
▢
2 tomatoes (optional)
▢
1 red onion sliced
▢
3 pieces chili pepper chopped","Combine all the marinade ingredients in a bowl. Mix well. Add the pork belly. Marinate for at least 3 hours.
Grill the pork belly until fully cooked. Slice it into serving pieces. Set aside.
Combine all the sauce ingredients in a large mixing bowl. Add the sliced pork, cucumber, tomato, onion, and chili pepper. Toss until well blended.
Transfer to a serving plate. Serve.
Share and enjoy!",2024-08-08 15:19:45,1
Pork Hamonado,"▢
2 lbs. pork belly sliced into serving pieces
▢
2 cups pineapple juice
▢
20 ounces pineapple chunks
▢
6 cloves garlic crushed
▢
6 tablespoons soy sauce
▢
3 tablespoons brown sugar
▢
2 teaspoons whole peppercorn
▢
3 tablespoons cooking oil
▢
Salt to taste","Heat the oil in a cooking pot. Fry each side of the pork belly for 2 minutes.
3 tablespoons cooking oil, 2 lbs. pork belly
Pour-in the soy sauce, pineapple juice, and half of the pineapple chunks.
2 cups pineapple juice, 6 tablespoons soy sauce, 20 ounces pineapple chunks
Add the garlic and whole peppercorn. Cover and let it boil.
6 cloves garlic, 2 teaspoons whole peppercorn
Reduce the heat to a simmer. Continue cooking until the pork tenderizes. Note: This should take around 60 minutes. You can add water as needed.
Add the remaining pineapple chunks and brown sugar. Season with salt as needed. Cook for 2 minutes.
3 tablespoons brown sugar, Salt to taste
Serve warm with rice. Share and enjoy!",2024-08-08 15:19:45,1
Braised Pork Belly with Potato and Peppers,"▢
2 lbs. pork belly cubed
▢
2 pieces potato cut into large cubes
▢
3 tablespoons soy sauce
▢
2 tablespoons oyster sauce
▢
2 tablespoons white vinegar
▢
3 pieces dried bay leaves
▢
5 cloves garlic
▢
1 piece onion chopped
▢
2 pieces tomatoes chopped
▢
3 cups water
▢
1 teaspoon brown sugar
▢
¼ teaspoon ground black pepper
▢
Salt to taste","Sear the pork belly until brown and enough oil has been extracted. Remove it from the pan and set it aside.
2 lbs. pork belly
Sauté the garlic and onion in the extracted pork fat until the onion softens.
5 cloves garlic, 1 piece onion, 2 pieces tomatoes
Add the pork belly back into the pan. Saute it for 1 minute.
2 lbs. pork belly
Pour the soy sauce and oyster sauce. Stir and then add the water. Cover the pan. Let the mixture boil. Add the dried bay leaves, and then adjust the heat setting to a simmer. Continue simmering for 30 minutes.
3 tablespoons soy sauce, 2 tablespoons oyster sauce, 3 cups water, 3 pieces dried bay leaves
Add the white vinegar and sugar. Cover the pan and simmer until the pork tenderizes completely. Note: This can take from 30 to 45 minutes.
2 tablespoons white vinegar, 1 teaspoon brown sugar
Add the potatoes. Cook it for 6 minutes.
2 pieces potato
Add the bell pepper and ground black pepper. Season with salt and ground black pepper. Cover and cook for 2 minutes.
2 lbs. pork belly, Salt to taste, ¼ teaspoon ground black pepper
Transfer to a serving plate. Serve warm. Share and enjoy!",2024-08-08 15:19:45,1
Fried Eggplant (Crispy Fritters / Talong Okoy),"▢
5 pieces Chinese eggplants
▢
2 pieces eggs
▢
1 bunch green onions chopped
▢
4 tablespoons cornstarch
▢
8 tablespoons all-purpose flour
▢
½ teaspoon baking powder
▢
5 teaspoons salt
▢
¼ teaspoon ground black pepper
▢
2 cups water
▢
2 cups cooking oil","Grate the eggplants and arrange in a bowl. Sprinkle 4 teaspoons of salt. Toss until the eggplants are evenly coated. Let it stay for 10 minutes.
5 pieces Chinese eggplants, 5 teaspoons salt
Add 2 cups of water into the bowl. Wash the eggplants to get rid of the salt. Grab the eggplants with your hand and squeeze until the water drains completely. You can also put this in a cheesecloth and wring it until the water drains out.
2 cups water
Combine flour, cornstarch, and baking powder in a bowl. Mix well and then set aside.
4 tablespoons cornstarch, 8 tablespoons all-purpose flour, ½ teaspoon baking powder
Beat the eggs in a large bowl. Add the eggplants, green onions, salt, and ground black pepper. Mix it well.
2 pieces eggs, 2 tablespoons green onion, ¼ teaspoon ground black pepper, 5 pieces Chinese eggplants
Gradually add the flour and cornstarch mixture. Mix until all the ingredients are well blended.
8 tablespoons all-purpose flour, 4 tablespoons cornstarch
Heat 2 cups of oil in a small pan. Note: the oil must be deep enough for the mixture to float.
2 cups cooking oil
Scoop around 3 tablespoons of the eggplant mixture into the pan with hot oil. Fry until both sides are brown and crispy. Drain the excess oil and arrange the eggplant fritters on a serving plate.
Make the dipping sauce by combining vinegar, sugar, salt, ground black pepper, and soy sauce in a bowl. Microwave for 30 seconds and then stir until well blended. Add chili peppers, onion, garlic, and green onion. Serve with the eggplant fritters.
¼ teaspoon ground black pepper, 1 cup white vinegar, 2 teaspoons soy sauce, ½ piece red onion, 3 pieces Thai chili pepper, 3 cloves garlic, 1 teaspoon sugar, ¼ teaspoon salt, 1 bunch green onions
Share and enjoy!",2024-08-08 15:19:45,1
Stir Fry Eggplant Recipe,"▢
4 pieces Chinese eggplant sliced
▢
4 ounces ground pork
▢
2 tablespoons cornstarch
▢
2 tablespoons white vinegar
▢
¼ cup green onions chopped
▢
1 tablespoon salt
▢
2 cups water
▢
1 tablespoon cooking oil","Combine 2 cups water, 1 tablespoon salt, and 2 tablespoons vinegar in a large mixing bowl. Stir and then add the sliced eggplants. Soak it for 20 minutes.
Make the sauce by combining all the sauce ingredients as listed above the ingredient section in a bowl. Mix well and then set aside.
Remove the eggplants from the bowl and place it in a colander. Gently squeeze until enough water has been extracted from the eggplants. Sprinkle the cornstarch over it and then toss the eggplants until it gets evenly coated. Set this aside.
Heat 1 tablespoon of cooking oil in a pan. Add the ground pork. Sauté this until the color turns light to medium brown.
Add the eggplants. Continue sautéing for 2 minutes.
Pour the sauce into the pan. Stir and continue cooking using medium heat until the sauce thickens.
Garnish with chopped green onions and then transfer to a serving plate.
Serve! Share and enjoy.",2024-08-08 15:19:45,1
Ham Fried Rice,"▢
4 cups cooked rice
▢
1 cup ham chopped
▢
1 piece bell pepper chopped
▢
1 piece onion chopped
▢
½ cup green onion chopped (white part separated from the green part)
▢
2 pieces eggs beaten
▢
2 tablespoons soy sauce
▢
1 teaspoon sesame oil
▢
4 tablespoons canola oil
▢
Salt and ground black pepper to taste","Heat the oil in a pan. Fry the eggs until done. Remove and place on a clean plate. Chop using your spatula and set it aside.
4 tablespoons canola oil, 2 pieces eggs
Saute the ham using the remaining cooking oil for 2 minutes. Add onion, bell pepper, and white part of the green onion. Continue to saute for 1 minute.
1 cup ham, 1 piece bell pepper, 1 piece onion, ½ cup green onion
Add the cooked rice. Toss until all the ingredients are well blended.
4 cups cooked rice
Pour the soy sauce and sesame oil into the pan. Toss.
2 tablespoons soy sauce, 1 teaspoon sesame oil
Add the cooked egg and green onions. Toss and continue cooking for 3 minutes.
Season with salt and ground black pepper.
Salt and ground black pepper to taste
Serve warm. Share and enjoy!",2024-08-08 15:19:45,1
Crispy Pancit Canton Noodles Recipe,"▢
250 grams Pancit canton
▢
37 grams Knorr crab and Corn soup
▢
10 pieces shrimp cleaned
▢
12 pieces quail eggs boiled
▢
¼ lb. chicken thigh sliced
▢
1 piece carrot thinly sliced crosswise
▢
3 pieces baby bok choy halved
▢
1 bunch green onion sliced
▢
3 cloves garlic chopped
▢
2 tablespoons oyster sauce
▢
1 teaspoon sesame oil
▢
2 cups water
▢
2 cups cooking oil","Start to blanch the vegetables and shrimp by boiling the water in a cooking pot. Put the carrot first, quickly boil for 1-minute. Remove the carrot from the cooking pot and transfer to a bowl with ice cold water. Soak it for 2 minutes and then remove from the bowl and place in a clean plate. Do the same step with the bok choy and shrimp. Set aside.
10 pieces shrimp, 1 piece carrot, 3 pieces baby bok choy
Fry the pancit canton noodles. Start by heating 2 cups of oil in a wok. Add the pancit canton. Deep fry while gently tossing until it becomes crispy (around 30 to 45 seconds). Remove from the cooking pot. Let the oil drip before arranging it on a serving plate.
250 grams Pancit canton, 2 cups cooking oil
Make the sauce by sautéing garlic and the white part of the green onion. Add the chicken thigh. Cook for 2 minutes. Add the shrimp and carrot. Stir-fry for 30 seconds.
1 bunch green onion, 3 cloves garlic, ¼ lb. chicken thigh
Combine Knorr Crab and Corn Soup with 500 ml. water. Mix well. Pour the mixture into the cooking pot. Stir and continue cooking until the sauce thickens.
37 grams Knorr crab and Corn soup, 2 cups water
Add the quail eggs, oyster sauce, and sesame oil. Season with ground white pepper.
12 pieces quail eggs, 2 tablespoons oyster sauce, 1 teaspoon sesame oil
Arrange the bok choy around the plate and then pour the sauce over the crispy noodles. Serve warm. Share and enjoy!",2024-08-08 15:19:45,1
How to Cook Easy Pork Afritada,"▢
2 lbs. pork belly cut into large cubes
▢
1 piece Knorr Pork Cube
▢
3 pieces hotdogs sliced
▢
2 pieces potatoes cut into large cubes
▢
3 pieces carrots cut into large cubes
▢
16 ounces tomato sauce
▢
3 pieces bay leaves
▢
1 piece red bell pepper
▢
1 piece green bell pepper
▢
5 cloves garlic chopped
▢
1 piece onion chopped
▢
1 1/2 cups water
▢
Salt and ground black pepper to taste
▢
3 tablespoons cooking oil","Heat oil in a cooking pot. Fry the pork belly until the color of the outer part turns light to medium brown. Remove the pork and place on a clean plate. Set aside.
Put the hotdogs into the pot. Fry it for 1 minute. Remove and set aside.
Using the remaining oil, sauté the garlic and onion.
Add the pork back once the onion softens. Sauté it for 1 minute.
Pour the tomato sauce into the cooking pot. Add water. Let the mixture boil.
Add Knorr Pork Cube and bay leaves. Cover the pot and simmer for 1 hour or until the pork tenderizes.
Add the hotdogs, potato, and carrot. Cook for 5 minutes.
Add the bell peppers and season with salt and ground black pepper. Cook for 3 minutes.
Serve with white rice. Share and enjoy!",2024-08-08 15:19:45,1
Pork and Shrimp Siomai with Chili Garlic Oil,"▢
3 lbs. ground pork
▢
1 cup shrimp minced see notes
▢
12 ml. Knorr Liquid Seasoning
▢
½ cup onion minced
▢
½ cup carrot minced
▢
¼ cup green onion minced
▢
4 tablespoons cornstarch
▢
1 piece egg
▢
2 teaspoons sesame oil
▢
½ teaspoon salt
▢
¼ teaspoon ground black pepper
▢
50 pieces wonton wrapper","Prepare the shumai by combining pork, shrimp, onion, carrot, green onion, and egg in a bowl. Mix well and then add Knorr Liquid Seasoning, sesame oil, salt, and ground black pepper. Continue mixing until the ingredients are well distributed.
Gradually add the cornstarch as needed. Note: this is a binding ingredient that helps absorb moisture from the mixture.
Put steamer liners on your steamer. Arrange the siomai on top. Steam for 20 to 30 minutes.
Make the chili garlic oil by mincing the garlic and Thai chili pepper in a food processor.
Pour 1 1/2 cups of cooking oil in a wok and then add the minced garlic and chili peppers along with star anise and dried bay leaves. Turn on the heat of the stove to the lowest setting. Gradually stir the mixture while cooking for 30 to 45 minutes.
Add vinegar, brown sugar, salt, and oyster sauce unto the mixture. Continue cooking for 3 minutes.
Remove the star anise and dried bay leaves.
Arrange the siomai on a serving plate and top with chili garlic oil then serve with a dipping sauce composed of soy sauce and calamansi.
Share and enjoy!",2024-08-08 15:19:45,1
Pork Chop Steak,"▢
4 lbs. pork chop
▢
1 piece Knorr Pork Cube
▢
½ cup soy sauce
▢
1 piece lemon
▢
4 pieces yellow onions sliced into rings
▢
10 cloves garlic crushed and chopped
▢
1 teaspoon cornstarch
▢
2 cups water
▢
3 tablespoons cooking oil
▢
Ground black pepper to taste","In a large bowl, combine pork chops, soy sauce, 5 cloves chopped garlic, juice of 1 lemon, and some ground black pepper. Mix it well. Marinate for at least 30 minutes.
Heat 1 tablespoon of cooking oil in a pan. Fry the pork chops for around 2 ½ minutes per side. Remove from the pan and set aside.
Heat the remaining oil. Sauté half of the onions and the remaining garlic.
Add the pork chops once the onion softens. Continue to sauté for 2 minutes.
Pour the remaining marinade and water into the pan. Let the liquid boil.
Add Knorr Pork Cube. Cover the pan and. Adjust the heat to the lowest setting. Simmer for 45 to 60 minutes or until the pork chop becomes tender.
Combine cornstarch with ¼ cup water. Stir until well blended and then pour the mixture into the pan.
Add the remaining onions. Cover the pan and continue cooking for 3 minutes.
Transfer to a serving plate. Serve with warm rice.
Share and enjoy!",2024-08-08 15:19:45,1
Creamy Tofu with Mixed Vegetables,"▢
48 ounces extra firm tofu diced
▢
35 grams Knorr Cream of Mushroom
▢
1 piece Knorr Chicken Cube
▢
½ cup all-purpose cream
▢
¾ cup green peas
▢
¾ cup carrots diced
▢
¾ cups corn kernels
▢
1 piece onion minced
▢
3 cloves garlic minced
▢
2 tablespoons roasted garlic optional
▢
3 tablespoons butter
▢
1 cup cooking oil
▢
2 cups water","Salt and ground black pepper to taste
Deep fry the tofu until it turns golden brown. Set aside.
Melt butter in a pan and then add 2 tablespoons of cooking oil. Sauté the garlic and onion until the onion softens.
Add the fried tofu. Saute for 30 seconds.
Add the green peas, carrots, and corn. Saute for 2 minutes.
Put-in the Knorr Chicken Cube.
Combine water and Knorr Cream of Mushroom. Mix well and then pour the mixture into the pan. Stir.
Pour the heavy cream. Adjust the heat to the lowest setting. Simmer until the sauce reduces to half.
Add some toasted garlic (if desired) and season with salt and ground black pepper.",2024-08-08 15:19:45,1
